Date,10 Yr
12/31/2017,2.639
12/30/2017,2.649
12/29/2017,2.663
12/28/2017,2.683
12/27/2017,2.722
12/26/2017,2.721
12/25/2017,2.72
12/24/2017,2.72
12/23/2017,2.73
12/22/2017,2.708
12/21/2017,2.667
12/20/2017,2.643
12/19/2017,2.563
12/18/2017,2.563
12/17/2017,2.571
12/16/2017,2.558
12/15/2017,2.532
12/14/2017,2.552
12/13/2017,2.535
12/12/2017,2.554
12/11/2017,2.563
12/10/2017,2.558
12/09/2017,2.553
12/08/2017,2.539
12/07/2017,2.525
12/06/2017,2.525
12/05/2017,2.585
12/04/2017,2.56
12/03/2017,2.561
12/01/2017,2.536
11/30/2017,2.51
11/29/2017,2.495
11/28/2017,2.51
11/27/2017,2.524
11/26/2017,2.519
11/25/2017,2.538
11/24/2017,2.51
11/23/2017,2.526
11/22/2017,2.535
11/21/2017,2.56
11/20/2017,2.555
11/19/2017,2.566
11/18/2017,2.581
11/17/2017,2.589
11/16/2017,2.593
11/15/2017,2.603
11/14/2017,2.659
11/13/2017,2.629
11/12/2017,2.653
11/11/2017,2.67
11/10/2017,2.618
11/09/2017,2.613
11/08/2017,2.584
11/07/2017,2.599
11/06/2017,2.583
11/05/2017,2.575
11/04/2017,2.593
11/03/2017,2.59
11/02/2017,2.661
11/01/2017,2.713
10/31/2017,2.681
10/30/2017,2.73
10/29/2017,2.741
10/28/2017,2.761
10/27/2017,2.78
10/26/2017,2.78
10/25/2017,2.783
10/24/2017,2.783
10/23/2017,2.809
10/22/2017,2.825
10/21/2017,2.832
10/20/2017,2.784
10/19/2017,2.779
10/18/2017,2.735
10/17/2017,2.772
10/16/2017,2.762
10/15/2017,2.783
10/14/2017,2.786
10/13/2017,2.807
10/12/2017,2.816
10/11/2017,2.838
10/10/2017,2.849
10/09/2017,2.832
10/08/2017,2.842
10/07/2017,2.849
10/06/2017,2.821
10/05/2017,2.797
10/04/2017,2.823
10/03/2017,2.863
10/02/2017,2.882
10/01/2017,2.861
09/29/2017,2.842
09/28/2017,2.858
09/27/2017,2.798
09/26/2017,2.777
09/25/2017,2.798
09/24/2017,2.8
09/22/2017,2.804
09/21/2017,2.868
09/20/2017,2.854
09/19/2017,2.815
09/18/2017,2.81
09/17/2017,2.769
09/15/2017,2.757
09/14/2017,2.738
09/13/2017,2.678
09/12/2017,2.64
09/11/2017,2.624
09/08/2017,2.59
09/07/2017,2.651
09/06/2017,2.602
09/05/2017,2.681
09/04/2017,2.652
09/03/2017,2.678
09/02/2017,2.699
09/01/2017,2.685
08/31/2017,2.724
08/30/2017,2.681
08/29/2017,2.631
08/28/2017,2.667
08/27/2017,2.654
08/26/2017,2.654
08/25/2017,2.657
08/24/2017,2.652
08/23/2017,2.685
08/22/2017,2.65
08/21/2017,2.644
08/20/2017,2.616
08/19/2017,2.617
08/18/2017,2.629
08/17/2017,2.649
08/16/2017,2.675
08/15/2017,2.661
08/14/2017,2.625
08/13/2017,2.622
08/12/2017,2.602
08/11/2017,2.589
08/10/2017,2.659
08/09/2017,2.643
08/08/2017,2.643
08/07/2017,2.661
08/06/2017,2.646
08/05/2017,2.646
08/04/2017,2.635
08/03/2017,2.685
08/02/2017,2.72
08/01/2017,2.715
07/31/2017,2.695
07/30/2017,2.711
07/29/2017,2.699
07/28/2017,2.699
07/27/2017,2.695
07/26/2017,2.739
07/25/2017,2.699
07/24/2017,2.68
07/23/2017,2.707
07/22/2017,2.7
07/21/2017,2.712
07/20/2017,2.764
07/19/2017,2.729
07/18/2017,2.767
07/17/2017,2.729
07/16/2017,2.715
07/15/2017,2.715
07/14/2017,2.733
07/13/2017,2.698
