DATE,GDPC1_PCH
1993-01-01,0.16694
1993-04-01,0.58217
1993-07-01,0.47715
1993-10-01,1.36015
1994-01-01,0.97036
1994-04-01,1.35518
1994-07-01,0.58458
1994-10-01,1.14557
1995-01-01,0.35478
1995-04-01,0.29832
1995-07-01,0.85073
1995-10-01,0.67908
1996-01-01,0.74905
1996-04-01,1.66794
1996-07-01,0.89703
1996-10-01,1.03837
1997-01-01,0.64544
1997-04-01,1.66522
1997-07-01,1.24857
1997-10-01,0.85386
1998-01-01,1.00375
1998-04-01,0.92569
1998-07-01,1.25894
1998-10-01,1.60920
1999-01-01,0.93943
1999-04-01,0.83474
1999-07-01,1.32588
1999-10-01,1.64067
2000-01-01,0.36279
2000-04-01,1.82129
2000-07-01,0.10193
2000-10-01,0.59704
2001-01-01,-0.32780
2001-04-01,0.62450
2001-07-01,-0.40064
2001-10-01,0.27478
2002-01-01,0.83636
2002-04-01,0.61271
2002-07-01,0.40651
2002-10-01,0.12361
2003-01-01,0.52664
2003-04-01,0.88562
2003-07-01,1.66320
2003-10-01,1.16072
2004-01-01,0.56665
2004-04-01,0.77495
2004-07-01,0.94859
2004-10-01,1.02021
2005-01-01,1.10936
2005-04-01,0.49262
2005-07-01,0.78381
2005-10-01,0.55552
2006-01-01,1.34538
2006-04-01,0.25875
2006-07-01,0.14996
2006-10-01,0.85945
2007-01-01,0.30084
2007-04-01,0.61176
2007-07-01,0.57603
2007-10-01,0.62824
2008-01-01,-0.42676
2008-04-01,0.59543
2008-07-01,-0.52526
2008-10-01,-2.18903
2009-01-01,-1.13487
2009-04-01,-0.17865
2009-07-01,0.35119
2009-10-01,1.08091
2010-01-01,0.48450
2010-04-01,0.96759
2010-07-01,0.77108
2010-10-01,0.52511
2011-01-01,-0.23720
2011-04-01,0.67658
2011-07-01,-0.02231
2011-10-01,1.12305
2012-01-01,0.83859
2012-04-01,0.44633
2012-07-01,0.14403
2012-10-01,0.11564
2013-01-01,0.98656
2013-04-01,0.26764
2013-07-01,0.85139
2013-10-01,0.87174
2014-01-01,-0.34510
2014-04-01,1.29184
2014-07-01,1.21539
2014-10-01,0.50573
2015-01-01,0.90048
2015-04-01,0.61941
2015-07-01,0.40025
2015-10-01,0.18448
2016-01-01,0.57952
2016-04-01,0.32112
2016-07-01,0.70939
2016-10-01,0.55430
2017-01-01,0.48689
2017-04-01,0.55987
2017-07-01,0.78852
2017-10-01,1.12705
2018-01-01,0.81341
2018-04-01,0.53083
2018-07-01,0.62370
2018-10-01,0.14164
2019-01-01,0.62432
2019-04-01,0.83515
2019-07-01,1.17000
2019-10-01,0.68188
2020-01-01,-1.39244
2020-04-01,-7.90897
2020-07-01,7.83023
2020-10-01,1.08473
2021-01-01,1.38019
2021-04-01,1.57004
2021-07-01,0.85285
2021-10-01,1.80316
2022-01-01,-0.25745
2022-04-01,0.07018
2022-07-01,0.67321
2022-10-01,0.82783
2023-01-01,0.69204
2023-04-01,0.60697
2023-07-01,1.07152
2023-10-01,0.78867
