Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/1996,5.21,5.33,5.51,5.88,6.04,6.21,6.34,6.43,6.73,6.65
12/30/1996,5.21,5.29,5.47,5.80,5.95,6.10,6.21,6.31,6.63,6.54
12/27/1996,5.11,5.28,5.47,5.81,5.93,6.09,6.21,6.30,6.63,6.54
12/26/1996,5.10,5.27,5.50,5.85,5.98,6.13,6.25,6.35,6.68,6.59
12/24/1996,5.09,5.27,5.51,5.85,5.98,6.13,6.25,6.36,6.68,6.59
12/23/1996,5.10,5.29,5.52,5.85,5.97,6.12,6.24,6.34,6.67,6.58
12/20/1996,5.02,5.26,5.49,5.83,5.95,6.12,6.25,6.35,6.69,6.59
12/19/1996,5.01,5.25,5.50,5.83,5.97,6.13,6.25,6.36,6.69,6.60
12/18/1996,5.03,5.28,5.55,5.89,6.04,6.21,6.36,6.46,6.80,6.69
12/17/1996,5.00,5.27,5.51,5.87,5.99,6.17,6.31,6.42,6.76,6.66
12/16/1996,4.97,5.22,5.49,5.82,5.95,6.13,6.27,6.39,6.72,6.63
12/13/1996,4.92,5.20,5.46,5.77,5.89,6.06,6.22,6.33,6.68,6.58
12/12/1996,4.97,5.20,5.49,5.84,5.98,6.14,6.30,6.40,6.74,6.64
12/11/1996,4.96,5.22,5.49,5.82,5.95,6.14,6.28,6.38,6.71,6.61
12/10/1996,4.96,5.19,5.43,5.71,5.83,5.99,6.12,6.23,6.59,6.49
12/09/1996,4.96,5.18,5.43,5.70,5.81,5.97,6.11,6.21,6.58,6.48
12/06/1996,5.03,5.23,5.45,5.73,5.84,6.02,6.16,6.26,6.62,6.53
12/05/1996,5.04,5.22,5.44,5.71,5.82,5.99,6.12,6.22,6.60,6.50
12/04/1996,5.03,5.20,5.41,5.64,5.75,5.89,6.01,6.11,6.49,6.40
12/03/1996,5.05,5.22,5.39,5.61,5.70,5.84,5.95,6.06,6.44,6.35
12/02/1996,5.08,5.24,5.40,5.61,5.72,5.85,5.97,6.08,6.46,6.36
