Date,1 Yr,3 Yr,10 Yr
12/30/2005,4.38,4.37,4.39
12/29/2005,4.35,4.35,4.37
12/28/2005,4.34,4.34,4.38
12/27/2005,4.35,4.31,4.34
12/23/2005,4.33,4.34,4.38
12/22/2005,4.35,4.38,4.44
12/21/2005,4.38,4.43,4.49
12/20/2005,4.39,4.41,4.47
12/19/2005,4.38,4.37,4.45
12/16/2005,4.32,4.35,4.45
12/15/2005,4.33,4.37,4.47
12/14/2005,4.32,4.36,4.45
12/13/2005,4.37,4.43,4.54
12/12/2005,4.38,4.45,4.56
12/09/2005,4.33,4.43,4.54
12/08/2005,4.3,4.36,4.47
12/07/2005,4.35,4.42,4.52
12/06/2005,4.36,4.41,4.49
12/05/2005,4.39,4.48,4.57
12/02/2005,4.35,4.43,4.52
12/01/2005,4.36,4.44,4.52
11/30/2005,4.34,4.41,4.49
11/29/2005,4.35,4.4,4.48
11/28/2005,4.32,4.32,4.41
11/25/2005,4.29,4.33,4.43
11/23/2005,4.31,4.36,4.47
11/22/2005,4.26,4.33,4.43
11/21/2005,4.33,4.39,4.46
11/18/2005,4.34,4.41,4.5
11/17/2005,4.32,4.39,4.46
11/16/2005,4.34,4.43,4.49
11/15/2005,4.38,4.5,4.56
11/14/2005,4.4,4.52,4.61
11/10/2005,4.34,4.48,4.55
11/09/2005,4.37,4.53,4.64
11/08/2005,4.34,4.47,4.57
11/07/2005,4.36,4.5,4.65
11/04/2005,4.34,4.5,4.66
11/03/2005,4.33,4.5,4.65
11/02/2005,4.31,4.46,4.61
11/01/2005,4.31,4.44,4.58
10/31/2005,4.31,4.41,4.57
10/28/2005,4.28,4.42,4.58
10/27/2005,4.26,4.39,4.57
10/26/2005,4.27,4.42,4.6
10/25/2005,4.26,4.36,4.54
10/24/2005,4.22,4.28,4.45
10/21/2005,4.18,4.23,4.39
10/20/2005,4.2,4.29,4.46
10/19/2005,4.18,4.28,4.47
10/18/2005,4.19,4.3,4.49
10/17/2005,4.21,4.31,4.5
10/14/2005,4.15,4.3,4.48
10/13/2005,4.14,4.27,4.48
10/12/2005,4.14,4.27,4.45
10/11/2005,4.14,4.23,4.39
10/07/2005,4.06,4.19,4.35
10/06/2005,4.07,4.21,4.37
10/05/2005,4.07,4.2,4.36
10/04/2005,4.09,4.22,4.38
10/03/2005,4.09,4.23,4.39
09/30/2005,4.01,4.18,4.34
09/29/2005,3.97,4.13,4.29
09/28/2005,3.95,4.09,4.26
09/27/2005,3.95,4.09,4.3
09/26/2005,3.95,4.08,4.3
09/23/2005,3.89,4.03,4.25
09/22/2005,3.86,3.95,4.19
09/21/2005,3.88,3.96,4.19
09/20/2005,3.92,4.01,4.26
09/19/2005,3.87,3.95,4.25
09/16/2005,3.86,4.0,4.26
09/15/2005,3.81,3.93,4.22
09/14/2005,3.81,3.91,4.17
09/13/2005,3.81,3.88,4.14
09/12/2005,3.83,3.93,4.18
09/09/2005,3.78,3.9,4.14
09/08/2005,3.77,3.89,4.15
09/07/2005,3.77,3.89,4.15
09/06/2005,3.73,3.83,4.09
09/02/2005,3.67,3.79,4.03
09/01/2005,3.66,3.8,4.02
08/31/2005,3.77,3.83,4.02
08/30/2005,3.85,4.01,4.16
08/29/2005,3.91,4.07,4.2
08/26/2005,3.9,4.07,4.2
08/25/2005,3.87,4.03,4.18
08/24/2005,3.87,4.03,4.19
08/23/2005,3.88,4.03,4.2
08/22/2005,3.89,4.06,4.22
08/19/2005,3.89,4.05,4.21
08/18/2005,3.86,4.04,4.21
08/17/2005,3.89,4.1,4.28
08/16/2005,3.88,4.06,4.23
08/15/2005,3.91,4.11,4.27
08/12/2005,3.88,4.08,4.24
08/11/2005,3.89,4.14,4.32
08/10/2005,3.9,4.18,4.4
08/09/2005,3.9,4.19,4.41
08/08/2005,3.93,4.22,4.42
08/05/2005,3.87,4.16,4.4
08/04/2005,3.83,4.09,4.32
08/03/2005,3.82,4.07,4.3
08/02/2005,3.84,4.1,4.34
08/01/2005,3.83,4.09,4.32
07/29/2005,3.8,4.06,4.28
07/28/2005,3.75,4.0,4.2
07/27/2005,3.77,4.04,4.27
07/26/2005,3.76,4.0,4.24
07/25/2005,3.77,3.99,4.25
07/22/2005,3.72,3.97,4.23
07/21/2005,3.72,4.01,4.28
07/20/2005,3.66,3.93,4.17
07/19/2005,3.65,3.93,4.2
07/18/2005,3.66,3.94,4.22
07/15/2005,3.61,3.92,4.18
07/14/2005,3.6,3.91,4.19
07/13/2005,3.59,3.89,4.17
07/12/2005,3.59,3.88,4.15
07/11/2005,3.58,3.85,4.11
07/08/2005,3.52,3.82,4.11
07/07/2005,3.48,3.75,4.05
07/06/2005,3.53,3.8,4.08
07/05/2005,3.55,3.82,4.11
07/01/2005,3.51,3.77,4.06
06/30/2005,3.45,3.67,3.94
06/29/2005,3.44,3.69,3.99
06/28/2005,3.46,3.68,3.97
06/27/2005,3.42,3.62,3.9
06/24/2005,3.38,3.63,3.92
06/23/2005,3.39,3.66,3.96
06/22/2005,3.37,3.65,3.95
06/21/2005,3.42,3.75,4.06
06/20/2005,3.42,3.78,4.11
06/17/2005,3.39,3.76,4.09
06/16/2005,3.38,3.76,4.09
06/15/2005,3.39,3.79,4.12
06/14/2005,3.39,3.78,4.13
06/13/2005,3.38,3.77,4.09
06/10/2005,3.33,3.75,4.05
06/09/2005,3.31,3.68,3.98
06/08/2005,3.3,3.65,3.95
06/07/2005,3.28,3.62,3.92
06/06/2005,3.3,3.64,3.96
06/03/2005,3.28,3.63,3.98
06/02/2005,3.26,3.56,3.89
06/01/2005,3.25,3.55,3.91
05/31/2005,3.32,3.65,4.0
05/27/2005,3.31,3.72,4.08
05/26/2005,3.31,3.72,4.08
05/25/2005,3.32,3.68,4.08
05/24/2005,3.32,3.68,4.04
05/23/2005,3.35,3.73,4.07
