Date,1 Yr,3 Yr,10 Yr,30 Yr
12/31/2021,0.39,0.97,1.52,1.9
12/30/2021,0.38,0.98,1.52,1.93
12/29/2021,0.38,0.99,1.55,1.96
12/28/2021,0.39,0.99,1.49,1.9
12/27/2021,0.33,0.98,1.48,1.88
12/23/2021,0.31,0.97,1.5,1.91
12/22/2021,0.28,0.96,1.46,1.86
12/21/2021,0.29,0.96,1.48,1.89
12/20/2021,0.27,0.91,1.43,1.85
12/17/2021,0.27,0.93,1.41,1.82
12/16/2021,0.26,0.92,1.44,1.87
12/15/2021,0.29,1.0,1.47,1.86
12/14/2021,0.26,0.98,1.44,1.82
12/13/2021,0.27,0.95,1.42,1.81
12/10/2021,0.27,0.98,1.48,1.88
12/09/2021,0.28,0.99,1.49,1.87
12/08/2021,0.29,0.99,1.52,1.87
12/07/2021,0.31,0.99,1.48,1.8
12/06/2021,0.28,0.91,1.43,1.75
12/03/2021,0.26,0.86,1.35,1.69
12/02/2021,0.27,0.9,1.44,1.76
12/01/2021,0.25,0.85,1.43,1.77
11/30/2021,0.24,0.81,1.43,1.78
11/29/2021,0.21,0.83,1.52,1.87
11/26/2021,0.2,0.81,1.48,1.83
11/24/2021,0.24,0.97,1.64,1.96
11/23/2021,0.21,0.95,1.67,2.02
11/22/2021,0.2,0.95,1.63,1.98
11/19/2021,0.18,0.86,1.54,1.91
11/18/2021,0.18,0.84,1.59,1.97
11/17/2021,0.18,0.85,1.6,2.0
11/16/2021,0.17,0.87,1.63,2.02
11/15/2021,0.18,0.87,1.63,2.01
11/12/2021,0.17,0.85,1.58,1.95
11/10/2021,0.17,0.83,1.56,1.92
11/09/2021,0.14,0.71,1.46,1.83
11/08/2021,0.16,0.75,1.51,1.89
11/05/2021,0.14,0.66,1.45,1.87
11/04/2021,0.14,0.69,1.53,1.96
11/03/2021,0.17,0.77,1.6,2.0
11/02/2021,0.15,0.73,1.56,1.96
11/01/2021,0.15,0.79,1.58,1.98
10/29/2021,0.15,0.75,1.55,1.93
10/28/2021,0.15,0.77,1.57,1.96
10/27/2021,0.12,0.77,1.54,1.95
10/26/2021,0.14,0.77,1.63,2.05
10/25/2021,0.14,0.76,1.64,2.09
10/22/2021,0.13,0.79,1.66,2.08
10/21/2021,0.12,0.78,1.68,2.13
10/20/2021,0.1,0.7,1.65,2.12
10/19/2021,0.11,0.71,1.65,2.09
10/18/2021,0.11,0.72,1.59,2.01
10/15/2021,0.12,0.7,1.59,2.05
10/14/2021,0.1,0.62,1.52,2.02
10/13/2021,0.11,0.66,1.56,2.05
10/12/2021,0.1,0.64,1.59,2.1
10/08/2021,0.09,0.59,1.61,2.16
10/07/2021,0.1,0.57,1.58,2.13
10/06/2021,0.1,0.55,1.53,2.08
10/05/2021,0.09,0.54,1.54,2.1
10/04/2021,0.09,0.52,1.49,2.05
10/01/2021,0.09,0.49,1.48,2.04
09/30/2021,0.09,0.53,1.52,2.08
09/29/2021,0.09,0.55,1.55,2.09
09/28/2021,0.09,0.55,1.54,2.07
09/27/2021,0.09,0.56,1.48,1.99
09/24/2021,0.08,0.55,1.47,1.99
09/23/2021,0.08,0.53,1.41,1.92
09/22/2021,0.08,0.48,1.32,1.84
09/21/2021,0.07,0.46,1.33,1.86
09/20/2021,0.07,0.45,1.31,1.85
09/17/2021,0.07,0.47,1.37,1.91
09/16/2021,0.07,0.46,1.34,1.88
09/15/2021,0.07,0.43,1.31,1.87
09/14/2021,0.07,0.43,1.28,1.85
09/13/2021,0.07,0.44,1.33,1.91
09/10/2021,0.08,0.45,1.35,1.94
09/09/2021,0.07,0.43,1.3,1.9
09/08/2021,0.08,0.43,1.35,1.95
09/07/2021,0.08,0.45,1.38,1.99
09/03/2021,0.08,0.42,1.33,1.94
09/02/2021,0.07,0.42,1.29,1.9
09/01/2021,0.07,0.42,1.31,1.92
08/31/2021,0.07,0.4,1.3,1.92
08/30/2021,0.08,0.4,1.29,1.9
08/27/2021,0.07,0.41,1.31,1.91
08/26/2021,0.07,0.46,1.34,1.94
08/25/2021,0.07,0.47,1.35,1.96
