Date,1 Yr,3 Yr,10 Yr,20 Yr,30 Yr
12/29/2023,4.79,4.01,3.88,4.2,4.03
12/28/2023,4.82,4.02,3.84,4.14,3.98
12/27/2023,4.79,3.97,3.79,4.1,3.95
12/26/2023,4.83,4.05,3.89,4.2,4.04
12/22/2023,4.82,4.04,3.9,4.21,4.05
12/21/2023,4.84,4.06,3.89,4.19,4.03
12/20/2023,4.88,4.06,3.86,4.17,3.98
12/19/2023,4.93,4.15,3.93,4.23,4.03
12/18/2023,4.95,4.15,3.95,4.23,4.05
12/15/2023,4.95,4.13,3.91,4.19,4.0
12/14/2023,4.9,4.09,3.92,4.21,4.03
12/13/2023,4.94,4.18,4.04,4.36,4.19
12/12/2023,5.14,4.42,4.2,4.48,4.3
12/11/2023,5.14,4.42,4.23,4.51,4.32
12/08/2023,5.13,4.45,4.23,4.49,4.31
12/07/2023,5.05,4.31,4.14,4.42,4.25
12/06/2023,5.07,4.33,4.12,4.4,4.22
12/05/2023,5.06,4.33,4.18,4.48,4.3
12/04/2023,5.1,4.4,4.28,4.61,4.43
12/01/2023,5.05,4.31,4.22,4.58,4.4
11/30/2023,5.16,4.48,4.37,4.72,4.54
11/29/2023,5.12,4.4,4.27,4.62,4.44
11/28/2023,5.21,4.49,4.34,4.7,4.52
11/27/2023,5.24,4.6,4.39,4.72,4.53
11/24/2023,5.27,4.67,4.47,4.79,4.6
11/22/2023,5.26,4.62,4.42,4.73,4.55
11/21/2023,5.24,4.6,4.41,4.75,4.57
11/20/2023,5.25,4.62,4.42,4.74,4.57
11/17/2023,5.24,4.64,4.44,4.8,4.59
11/16/2023,5.23,4.59,4.45,4.82,4.63
11/15/2023,5.27,4.68,4.53,4.87,4.68
11/14/2023,5.24,4.56,4.44,4.8,4.61
11/13/2023,5.37,4.8,4.63,4.95,4.75
11/10/2023,5.38,4.8,4.61,4.93,4.73
11/09/2023,5.39,4.77,4.62,4.97,4.77
11/08/2023,5.34,4.65,4.49,4.82,4.64
11/07/2023,5.33,4.64,4.58,4.91,4.75
11/06/2023,5.33,4.72,4.67,5.0,4.84
11/03/2023,5.29,4.62,4.57,4.93,4.77
11/02/2023,5.38,4.78,4.67,4.99,4.82
11/01/2023,5.37,4.76,4.77,5.13,4.96
10/31/2023,5.44,4.9,4.88,5.21,5.04
10/30/2023,5.41,4.87,4.88,5.21,5.04
10/27/2023,5.39,4.84,4.84,5.19,5.03
10/26/2023,5.39,4.89,4.86,5.19,5.01
10/25/2023,5.43,4.98,4.95,5.27,5.09
10/24/2023,5.41,4.91,4.83,5.15,4.96
10/23/2023,5.42,4.89,4.86,5.19,5.01
10/20/2023,5.41,4.93,4.93,5.27,5.09
10/19/2023,5.44,5.01,4.98,5.3,5.11
10/18/2023,5.47,5.03,4.91,5.2,5.0
10/17/2023,5.48,5.01,4.83,5.14,4.94
10/16/2023,5.42,4.87,4.71,5.06,4.87
10/13/2023,5.41,4.8,4.63,4.97,4.78
10/12/2023,5.43,4.82,4.7,5.05,4.86
10/11/2023,5.38,4.73,4.58,4.92,4.73
10/10/2023,5.37,4.74,4.66,5.03,4.85
10/06/2023,5.43,4.87,4.78,5.13,4.95
